日期,开盘价,最高价,闭市价,最低价
2019-03-27,3.04,3.06,3.02,2.97
2019-03-26,3.14,3.15,3.03,3.0
2019-03-25,3.05,3.16,3.13,3.03
2019-03-22,3.14,3.15,3.11,3.07
2019-03-21,3.12,3.17,3.14,3.11
2019-03-20,3.14,3.17,3.12,3.05
2019-03-19,3.17,3.22,3.15,3.12
2019-03-18,3.1,3.15,3.15,3.06
2019-03-15,3.04,3.1,3.07,3.03
2019-03-14,3.1,3.16,3.03,2.96
2019-03-13,3.25,3.28,3.1,3.1
2019-03-12,3.13,3.39,3.3,3.11
2019-03-11,2.94,3.12,3.08,2.94
2019-03-08,3.09,3.11,2.93,2.92
2019-03-07,3.07,3.22,3.17,3.03
2019-03-06,2.96,3.17,3.08,2.93
2019-03-05,2.89,2.93,2.93,2.86
2019-03-04,2.88,2.94,2.88,2.86
2019-03-01,2.86,2.88,2.87,2.82
2019-02-28,2.88,2.94,2.87,2.84
2019-02-27,2.83,2.93,2.89,2.82
2019-02-26,2.83,3.0,2.85,2.76
2019-02-25,2.7,2.82,2.8,2.68
2019-02-22,2.62,2.67,2.67,2.61
2019-02-21,2.67,2.7,2.63,2.62
2019-02-20,2.68,2.7,2.68,2.58
2019-02-19,2.69,2.75,2.67,2.64
2019-02-18,2.58,2.68,2.65,2.56
2019-02-15,2.54,2.65,2.56,2.53
2019-02-14,2.55,2.56,2.53,2.52
2019-02-13,2.52,2.56,2.55,2.51
2019-02-12,2.5,2.55,2.54,2.49
2019-02-11,2.42,2.52,2.51,2.42
2019-02-01,2.36,2.44,2.43,2.35
2019-01-31,2.38,2.42,2.35,2.34
2019-01-30,2.39,2.42,2.39,2.33
2019-01-29,2.45,2.48,2.38,2.38
2019-01-28,2.53,2.56,2.46,2.46
2019-01-25,2.55,2.56,2.51,2.51
2019-01-24,2.52,2.6,2.58,2.51
2019-01-23,2.52,2.54,2.51,2.51
2019-01-22,2.57,2.58,2.53,2.52
2019-01-21,2.6,2.61,2.57,2.57
2019-01-18,2.55,2.6,2.6,2.54
2019-01-17,2.56,2.57,2.56,2.51
2019-01-16,2.55,2.59,2.56,2.54
2019-01-15,2.53,2.55,2.54,2.5
2019-01-14,2.55,2.56,2.53,2.52
2019-01-11,2.54,2.57,2.55,2.51
2019-01-10,2.53,2.59,2.55,2.52
2019-01-09,2.52,2.58,2.53,2.51
2019-01-08,2.55,2.57,2.52,2.51
2019-01-07,2.54,2.57,2.57,2.51
2019-01-04,2.43,2.52,2.51,2.42
2019-01-03,2.45,2.48,2.45,2.43
2019-01-02,2.44,2.46,2.44,2.43
2018-12-28,2.42,2.46,2.45,2.41
2018-12-27,2.48,2.49,2.42,2.42
2018-12-26,2.43,2.45,2.45,2.43
2018-12-25,2.49,2.49,2.44,2.25
2018-12-24,2.48,2.52,2.5,2.48
2018-12-21,2.5,2.51,2.49,2.48
2018-12-20,2.51,2.52,2.51,2.49
2018-12-19,2.54,2.54,2.52,2.51
2018-12-18,2.52,2.55,2.53,2.5
2018-12-17,2.54,2.55,2.54,2.52
2018-12-14,2.6,2.6,2.55,2.54
2018-12-13,2.58,2.61,2.6,2.56
2018-12-12,2.59,2.59,2.58,2.57
2018-12-11,2.58,2.59,2.58,2.57
2018-12-10,2.59,2.61,2.57,2.56
2018-12-07,2.63,2.64,2.62,2.61
2018-12-06,2.64,2.65,2.62,2.61
2018-12-05,2.65,2.67,2.65,2.63
2018-12-04,2.66,2.68,2.68,2.65
2018-12-03,2.65,2.68,2.66,2.63
2018-11-30,2.6,2.62,2.61,2.57
2018-11-29,2.65,2.67,2.6,2.6
2018-11-28,2.63,2.65,2.65,2.57
2018-11-27,2.63,2.65,2.63,2.61
2018-11-26,2.62,2.65,2.62,2.61
2018-11-23,2.73,2.74,2.62,2.6
2018-11-22,2.78,2.78,2.74,2.73
2018-11-21,2.7,2.73,2.73,2.67
2018-11-20,2.77,2.78,2.72,2.72
2018-11-19,2.78,2.8,2.79,2.73
2018-11-16,2.79,2.82,2.8,2.78
2018-11-15,2.77,2.8,2.77,2.76
2018-11-14,2.79,2.83,2.76,2.75
2018-11-13,2.65,2.8,2.76,2.64
2018-11-12,2.61,2.69,2.68,2.59
2018-11-09,2.63,2.64,2.6,2.59
2018-11-08,2.64,2.66,2.63,2.63
2018-11-07,2.64,2.67,2.64,2.62
2018-11-06,2.64,2.66,2.63,2.59
2018-11-05,2.63,2.68,2.65,2.62
2018-11-02,2.6,2.68,2.64,2.6
2018-11-01,2.6,2.63,2.59,2.58
2018-10-31,2.6,2.63,2.6,2.57
2018-10-30,2.58,2.6,2.59,2.52
2018-10-29,2.58,2.62,2.58,2.56
2018-10-26,2.55,2.7,2.6,2.55
2018-10-25,2.48,2.55,2.55,2.45
2018-10-24,2.5,2.55,2.53,2.48
2018-10-23,2.54,2.56,2.51,2.49
2018-10-22,2.46,2.58,2.56,2.46
2018-10-19,2.39,2.48,2.46,2.38
2018-10-18,2.5,2.51,2.44,2.42
2018-10-17,2.51,2.52,2.5,2.46
2018-10-16,2.53,2.55,2.48,2.46
2018-10-15,2.58,2.6,2.52,2.51
2018-10-12,2.66,2.69,2.6,2.51
2018-10-11,2.84,2.85,2.68,2.64
2018-10-10,2.87,2.9,2.88,2.87
2018-10-09,2.89,2.9,2.88,2.87
2018-10-08,2.9,2.93,2.88,2.86
2018-09-28,2.92,2.94,2.93,2.91
2018-09-27,2.93,2.96,2.91,2.91
2018-09-26,2.96,2.97,2.94,2.93
2018-09-25,2.95,2.98,2.96,2.94
2018-09-21,2.94,2.97,2.96,2.92
2018-09-20,2.95,2.96,2.94,2.93
2018-09-19,2.94,2.98,2.95,2.93
2018-09-18,2.96,2.97,2.96,2.92
2018-09-17,2.92,2.96,2.96,2.9
2018-09-14,2.91,2.93,2.92,2.91
2018-09-13,2.88,2.92,2.92,2.88
2018-09-12,2.86,2.89,2.87,2.85
2018-09-11,2.86,2.88,2.87,2.84
2018-09-10,2.9,2.9,2.86,2.86
2018-09-07,2.88,2.93,2.9,2.88
2018-09-06,2.89,2.93,2.89,2.89
2018-09-05,2.9,2.93,2.9,2.88
2018-09-04,2.86,2.91,2.9,2.85
2018-09-03,2.87,2.88,2.86,2.83
2018-08-31,2.89,2.91,2.87,2.87
2018-08-30,2.96,2.96,2.91,2.9
2018-08-29,2.9,2.94,2.93,2.89
2018-08-28,2.91,2.94,2.9,2.9
2018-08-27,2.87,2.92,2.91,2.87
2018-08-24,2.85,2.89,2.87,2.83
2018-08-23,2.84,2.87,2.85,2.84
2018-08-22,2.87,2.87,2.84,2.83
2018-08-21,2.82,2.88,2.87,2.82
2018-08-20,2.8,2.84,2.83,2.77
2018-08-17,2.86,2.88,2.8,2.8
2018-08-16,2.87,2.91,2.85,2.84
2018-08-15,2.95,2.97,2.9,2.9
