date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-03-09,14.71,14.73,14.45,14.42,1665793.62,-0.58,-3.86,14.918,15.501,15.878,5293529.52,5055094.46,4480402.86
2020-03-06,14.55,15.64,15.03,14.46,7047893.5,0.53,3.65,14.952,15.719,15.981,6473853.9,5188959.88,4698625.45
2020-02-28,15.46,15.46,14.5,14.46,5788884.0,-1.08,-6.93,15.054,15.875,16.07,5756822.2,4894986.88,4595657.75
2020-02-21,15.04,15.72,15.58,14.93,5621930.5,0.55,3.66,15.432,16.037,16.125,5532966.8,4672696.93,4358531.71
2020-02-14,14.51,15.14,15.03,14.3,6343146.0,0.41,2.8,15.654,16.039,16.141,5219720.8,4390857.9,4435714.03
2020-02-07,13.99,14.89,14.62,13.99,7567415.5,-0.92,-5.92,16.084,16.065,16.156,4816659.4,4067204.2,4476621.33
2020-01-23,16.43,16.61,15.54,15.39,3462735.0,-0.85,-5.19,16.486,16.162,16.159,3904065.85,3749508.55,4301551.13
2020-01-17,16.75,17.27,16.39,16.2,4669607.0,-0.3,-1.8,16.696,16.242,16.123,4033151.55,3719538.05,4425779.61
2020-01-10,17.01,17.34,16.69,16.52,4055700.5,-0.49,-2.85,16.642,16.268,16.011,3812427.05,3701244.5,4442750.68
2020-01-03,16.46,17.31,17.18,16.1,4327839.0,0.55,3.31,16.424,16.285,15.909,3561995.0,3778728.25,4699669.11
2019-12-27,16.68,16.93,16.63,16.17,3004447.75,0.04,0.24,16.046,16.255,15.795,3317749.0,3905711.25,4846876.56
2019-12-20,16.12,16.74,16.59,15.87,4108163.5,0.47,2.92,15.838,16.243,15.69,3594951.25,4208291.03,5044649.72
2019-12-13,15.62,16.12,16.12,15.25,3565984.5,0.52,3.33,15.788,16.265,15.547,3405924.55,4296328.63,5021483.63
2019-12-06,15.35,15.72,15.6,15.21,2803540.25,0.31,2.03,15.894,16.212,15.453,3590061.95,4044366.49,5012169.2
2019-11-29,15.64,15.89,15.29,15.18,3106609.0,-0.3,-1.92,16.146,16.242,15.372,3995461.5,4480570.17,5035157.25
2019-11-22,16.35,16.55,15.59,15.55,4390459.0,-0.75,-4.59,16.464,16.247,15.314,4493673.5,4886038.47,5058850.82
2019-11-15,16.5,16.55,16.34,16.06,3163030.0,-0.31,-1.86,16.648,16.156,15.23,4821630.8,4853593.72,5046975.27
2019-11-08,16.98,17.44,16.65,16.64,4486671.5,-0.21,-1.25,16.742,16.003,15.102,5186732.7,5132021.17,5093747.43
2019-11-01,16.98,17.04,16.86,16.24,4830538.0,-0.02,-0.12,16.53,15.754,14.952,4498671.04,5184256.87,5108759.76
2019-10-25,16.43,17.0,16.88,16.03,5597669.0,0.37,2.24,16.338,15.533,14.733,4965678.84,5620609.97,5070545.78
2019-10-18,16.97,17.6,16.51,16.43,6030245.5,-0.3,-1.78,16.03,15.335,14.485,5278403.44,5788041.87,4974158.93
2019-10-11,15.6,16.95,16.81,15.6,4988539.5,1.22,7.83,15.664,15.136,14.269,4885556.64,5881008.42,4869077.63
2019-09-30,15.75,15.89,15.59,15.57,1046363.19,-0.31,-1.95,15.264,14.829,14.046,5077309.64,5746638.64,4746019.85
2019-09-27,15.34,16.04,15.9,15.18,7165577.0,0.56,3.65,14.978,14.693,13.888,5869842.7,5979971.9,4925122.04
2019-09-20,14.7,15.4,15.34,14.18,7161292.0,0.66,4.5,14.728,14.502,13.727,6275541.1,5589744.33,4912159.56
2019-09-12,14.98,15.0,14.68,14.41,4066011.5,-0.13,-0.88,14.64,14.38,13.653,6297680.3,5231663.18,4661458.26
2019-09-06,14.15,14.85,14.81,14.11,5947304.5,0.65,4.59,14.608,14.304,13.608,6876460.2,5240356.83,4774836.84
2019-08-30,14.42,14.5,14.16,14.05,5009028.5,-0.49,-3.35,14.394,14.201,13.604,6415967.65,5055473.7,4810994.49
2019-08-23,14.91,15.2,14.65,14.2,9194069.0,-0.25,-1.68,14.408,14.149,13.567,6090101.1,5033262.65,4805609.29
2019-08-16,14.61,15.22,14.9,14.6,7271988.0,0.38,2.62,14.276,13.933,13.528,4903947.55,4520481.6,4639859.14
2019-08-09,13.6,14.85,14.52,13.03,6959911.0,0.78,5.68,14.12,13.635,13.424,4165646.05,4160276.0,4548263.59
2019-08-02,14.25,14.55,13.74,13.66,3644841.75,-0.49,-3.44,14.0,13.401,13.327,3604253.45,3857146.85,4447632.56
2019-07-26,13.96,14.27,14.23,13.65,3379695.75,0.24,1.72,14.008,13.262,13.265,3694979.75,3745401.05,4562477.8
2019-07-19,14.03,14.12,13.99,13.56,3263301.25,-0.13,-0.92,13.89,13.083,13.169,3976424.2,3870272.18,4827054.61
2019-07-12,13.82,14.23,14.12,13.44,3580480.5,0.2,1.44,13.59,12.952,13.107,4137015.65,4234574.8,5146253.2
2019-07-05,14.01,14.28,13.92,13.69,4152948.0,0.14,1.02,13.15,12.925,12.978,4154905.95,4091253.35,5232095.6
2019-06-28,13.69,13.85,13.78,13.07,4098473.25,0.14,1.03,12.802,12.912,12.83,4110040.25,4309316.85,5267875.8
2019-06-21,12.48,13.95,13.64,12.48,4786918.0,1.15,9.21,12.516,13.007,12.701,3795822.35,4566515.28,5283973.89
2019-06-14,12.01,12.72,12.49,11.98,4066258.5,0.57,4.78,12.276,12.985,12.569,3764120.15,4577955.93,5265090.44
2019-06-06,12.22,12.33,11.92,11.6,3669932.0,-0.26,-2.13,12.314,13.122,12.466,4332133.95,4759236.68,5243872.95
2019-05-31,12.21,12.59,12.18,11.93,3928619.5,-0.17,-1.38,12.7,13.212,12.38,4027600.75,4936251.18,5273863.58
2019-05-24,12.35,12.73,12.35,12.24,2527383.75,-0.09,-0.72,13.022,13.253,12.258,4508593.45,5038118.28,5151490.55
2019-05-17,12.33,13.11,12.44,12.16,4628407.0,-0.24,-1.89,13.498,13.268,12.11,5337208.2,5379554.55,5025121.36
2019-05-10,13.1,13.35,12.68,12.05,6906327.5,-1.17,-8.45,13.694,13.254,11.96,5391791.7,5783837.05,4793701.01
2019-04-30,13.9,14.33,13.85,13.59,2147266.0,0.06,0.43,13.93,13.262,11.835,5186339.4,6057931.6,4448384.64
2019-04-26,14.6,14.84,13.79,13.7,6333583.0,-0.94,-6.38,13.724,13.031,11.656,5844901.6,6372937.85,4341021.34
2019-04-19,13.72,14.8,14.73,13.55,6670457.5,1.31,9.76,13.484,12.747,11.485,5567643.1,6226434.75,4024342.19
2019-04-12,13.9,14.43,13.42,13.21,4901324.5,-0.44,-3.17,13.038,12.394,11.264,5421900.9,6001432.5,3690819.31
2019-04-04,12.83,14.0,13.86,12.83,5879066.0,1.04,8.11,12.814,12.152,11.122,6175882.4,5952224.95,3445753.09
2019-03-29,12.4,12.82,12.82,12.01,5440077.0,0.23,1.83,12.594,11.809,10.956,6929523.8,5728509.23,3151799.79
2019-03-22,12.53,12.94,12.59,12.32,4947290.5,0.09,0.72,12.338,11.547,10.87,6900974.1,5611475.98,2879795.94
2019-03-15,12.3,12.68,12.5,12.05,5941746.5,0.2,1.63,12.01,11.263,10.799,6885226.4,5264862.83,2632431.41
2019-03-08,12.7,13.38,12.3,12.25,8671232.0,-0.46,-3.6,11.75,10.951,10.712,6580964.1,4670688.18,2335344.09
2019-03-01,11.7,12.78,12.76,11.57,9647273.0,1.22,10.57,11.49,10.666,10.612,5728567.5,3803564.98,1901782.49
2019-02-22,11.05,11.62,11.54,11.04,5297328.5,0.59,5.39,11.024,10.407,10.527,4527494.65,2838837.68,1419418.84
2019-02-15,11.08,11.41,10.95,10.9,4868552.0,-0.25,-2.23,10.756,10.281,10.483,4321977.85,2309104.83,1154552.41
